,text,affect_isr,affect_pal,attitude
1689,чтобы последствия для Израиля были наименьшими,0,2,0
471,Точно не за Израиль.,1,2,1
149,"помогите Хамасу отвоевать свои земли, жить на своих землях без угнетение",2,1,1
1542,От ваших комментариев только веет нелепостью. Это ведь не наш бой. В Сирии солдаты сражались против Хамаса. Жалко детей с обеих сторон.,2,2,2
1378,"Ура, что ты здесь! Пусть враги забоятся! 🇮🇱🌱",0,2,0
631,🙏🤲🇮🇱🇮🇱🇮🇱,0,2,0
290,"Когда разрушения и смерть становятся буднями из-за ХАМАС, пора действовать.",2,0,0
241,ЦАХАЛ🤬🤬,1,2,1
1692,чтобы потери Израиля были как можно меньше,0,2,0
1105,"Почему нельзя найти компромисс и идти навстречу друг другу? Евреи и арабы, очнитесь!",2,2,2
758,Евреи твари и животные,1,2,1
1593,"Палестинцы и евреи – две истории: одни строят, другие воюют.",0,0,0
799,ЦАХАЛ снова сбавил ход  ,1,2,1
1123,Цель Палестины понятна,2,2,2
1544,Ваши комментарии прочла и поражаюсь: зачем вмешивать? Это не наш конфликт. Солдаты раньше встречались с Хамасом в Сирии. Жалко детей с обеих сторон.,2,2,2
164,"МУСУЛЬМНЕ, НУЖНО ДЕРЖАТЬСЯ ВМЕСТЕ!!",2,1,1
976,Всё правильно! Не даром взбесился представитель Израиля. Правда глаза колит!,1,2,1
1573,"ЦАХАЛ и ХАМАС снова конфликтуют, последствия этой «странной войны» уродуют жизни мирных граждан.",2,2,2
1196,👋🙏🙏🇵🇸☝️🇵🇸🙏👋👋,2,1,1
286,"Каждый раз, когда всплывает их имя, за этим скрывается ужас.",2,0,0
1670,"Хамас ничего не упустил, всё идёт по плану.",2,1,1
562,🇮🇱❤️🙏,0,2,0
890,Мы поддерживаем мирные инициативы в Палестине  ,2,1,1
1607,"По сути, нападения на евреев вызывают радость у некоторых палестинцев, тогда как ответ Израиля вызывает бурю критики.",2,0,0
618,🙏🙏🙏🇮🇱🇮🇱🇮🇱,0,2,0
987,"За ХАМАС болеет много людей, потому что Израиль не с кем не ладит.",1,2,1
801,Снова ЦАХАЛ попятился  ,1,2,1
1647,Хватит уже заркывать глаза на действия «мирных» палестинцев,2,0,0
507,"Уважение к правам каждого означает, что у евреев должен быть свой дом – Израиль.",0,2,0
892,Мы боремся за мир в Палестине  ,2,1,1
1503,Забрали Палестину у арабов и все тихо,1,2,1
1334,"Обратите внимание на оппозицию СНГ - там много евреев... Когда кто-то защищал своих и был жесток, он мог не быть злым по сути, а просто действовал в сложных условиях.",2,2,2
1355,"Нет страны с именем Палестина, язык не свой. Всю инфраструктуру получают от Израиля. Ответ только в виде насилия и разрушения.",2,0,0
872,Евреи зверье самое настоящее,1,2,1
281,"ХАМАС нацеливается на невинных, их действия нельзя оправдать.",2,0,0
47,Израильский народ имеет историческое право на Иерусалим.,0,2,0
1315,❤️🇮🇱🌿,0,2,0
1507,Присвоили Палестину у арабов и никто не возмущен,1,2,1
847,"Израильское общество показывает, что единство сильнее боли.  ",0,2,0
1537,"Почитала ваши комментарии и думаю, зачем участвуете? Это не наша проблема. Солдаты с Хамасом в Сирии сражались. Жалко детей с обеих сторон.",2,2,2
316,"Просто невозможно понять, как можно ненавидеть людей только за их происхождение.",2,2,2
1575,"Евреи прорываются в технологиях, а арабы чем занимаются?",0,0,0
1292,"Что скажет Израиль за тысячи погибших детей? Это ведь длится уже 73 года, не с 7 октября началось. За что они лишали детей жизни? Ты знаешь?",1,2,1
530,Нас объединяет одна цель — мир в Палестине и конец страданиям,2,1,1
1197,🙏☝️☝️🇵🇸🙏🇵🇸☝️☝️🙏,2,1,1
367,Израиль добьется успеха.,0,2,0
410,Сильнейшая армия и дух народа Израиля — это непреодолимо!🇮🇱💥,0,2,0
1021,Евреи продолжают свои преступления,1,2,1
482,"Хотя, конечно, мне бы не хотелось, чтобы повторился геноцид евреев и исчезла прекрасная страна Израиль. У каждого народа должен быть свой дом и у евреев тоже. Пусть они живут на Ближнем Востоке, а не шатаются по миру.",0,2,0
796,ЦАХАЛ опять дал задний ход  ,1,2,1
1502,"Отняли у арабов Палестину, и все считают это нормальным",1,2,1
443,Израильская мощь в очередной раз докажет превосходство.,0,2,0
880,мы делаем всё чтобы наступил мир в Палестине,2,1,1
1194,🙏🙏🙏🇵🇸☝️🇵🇸☝️👋🙏,2,1,1
1254,Очевидный пример геноцида народа Палестины,1,2,1
357,☀️🇵🇸☀️,2,1,1
1495,Отобрали землю у арабов и это не вызывает вопросов,1,2,1
1174,Проблема не в антисемитизме,2,2,2
679,"Вера и дух сильны, ма шаа Аллах 🙏🙏  ",2,1,1
264,Сил народу израиля.,0,2,0
1330,"Многие в оппозиции СНГ евреи... Если кто-то спасал своих и кажется злым, он может быть просто жертвой обстоятельств, а не настоящим злодеем.",2,2,2
1318,💝🇮🇱🙏,0,2,0
1110,У арабов явно что-то пошло не так с приёмом гостей.,2,2,2
833,Объединение Израиля - впечатляющий пример единства в боли.  ,0,2,0
251,Помогите хамасу,2,1,1
1600,"Евреи и научные прорывы, а арабы что?",0,0,0
920,Оплеуха для Израиля – вполне приемлемо.,1,2,1
996,"Судя по всему, все больше людей предпочитает ХАМАС из-за неприязни к Израилю.",1,2,1
1582,"Пока евреи науку развивают, арабы в чем впереди?",0,0,0
973,"Не позорься, брось эти глупые антисемитские идеи.",2,0,0
615,🙏🤍🙏🇮🇱🇮🇱🇮🇱,0,2,0
1075,Обсуждение событий в Израиле на мировой арене поможет затушить огонь антисемитизма.,0,0,0
369,Израиль на правильном пути.,0,2,0
821,ХАМАС снова сбавил ход  ,2,0,0
1464,💚🤲🇵🇸✊🇵🇸🤲💚,2,1,1
418,Израильские силы всегда побеждают дикарей!🇮🇱💥,0,0,0
850,к сожалению Палестина до сих пор остаётся в этой «борьбе» одна,2,1,1
150,Нечесть хамасовская,2,0,0
228,Аллах акбар,2,1,1
1438,🇵🇸🙏🇵🇸💪🇵🇸🙏🇵🇸,2,1,1
909,Мы поддерживаем стабильность и мир в Палестине  ,2,1,1
294,ХАМАС - враг мира и стабильности.,2,0,0
506,Каждому народу нужно своё место под солнцем. Для евреев таким местом является Израиль.,0,2,0
625,🙏🙏❤🇮🇱🇮🇱🇮🇱,0,2,0
284,Они разрушают будущее своего же народа.,2,2,2
1275,"А как Израиль ответит за тысячи убитых невинных детей и младенцев? И это ведь началось не 7 октября, а длится уже 73 года. Почему они убивали детей? Может, ты в курсе?",1,2,1
587,Считают себя Богоизбранным народом и в тоже время не соблюдают его заповедей,1,2,1
605,Исторические границы Израиля были установлены задолго до палестинских требований.,0,2,0
1488,"Забрали у арабов Палестину, и это считается нормой",1,2,1
1272,"Как Израиль объяснит тысячи убитых невинных детей и младенцев? Это началось не 7 октября, а тянется уже 73 года. За что они лишали жизни детей? Ты, наверное, это знаешь.",1,2,1
416,Израиль — крепость защиты и мирного неба!🇮🇱🏞️,0,2,0
176,Снова евреев везде антисемитизмом пахнет,1,2,1
48,Историческая справедливость восторжествовала в 1948 году. Евреи вернулись на свою законную землю.,0,2,0
358,🇵🇸🤍🇵🇸,2,1,1
1656,"Сами всегда первыми бьют, а только отчего получат ответку, так сразу визжат про исламофобию.",2,0,0
1249,Арабы нацисты,2,0,0
711,"Нужно было бы сидеть дома, и проблем бы не было.  ",2,2,2
546,"Наши усилия сосредоточены на том, чтобы жизнь в Палестине была мирной и радостной",2,1,1
243,«Богоизбранные»мать их.. твари,1,2,1
1634,"И точно!!!! В слезах, мол, жалко детей Палестины... А думать об этом должны родители и власть, когда допускают такое. Они первые должны были понять последствия. Так что без обид: что хотели, то и получили! Израилю - успехов и мира !!!",0,0,0
1187,🙏🙏🙏🇵🇸✋🇵🇸🙏🙏🙏,2,1,1
1260,Вопиющий пример геноцида палестинцев!,1,2,1
736,"Если бы не прогрессивность Израиля, они бы жили, как тысячи лет назад.",2,0,0
359,🇵🇸👏🇵🇸,2,1,1
1520,"ни Хамас, ни Цахал мне не близки",2,2,2
55,"Около тысячи (❗) палестинцев погибли, много пострадавших. Те, кто поддерживает античеловечные действия Израиля - такие же террористы, как и те, кто отдает указы о массовых убийствах палестинского народа.",1,2,1
688,"Их дух непобедим, ма шаа Аллах 🙏🙏  ",2,1,1
1078,"Нужно говорить об Израиле без остановки, чтобы постепенно убирать пелену антисемитизма с глаз людей.",0,0,0
250,"Ну евреи, ну молодцы!!!",0,2,0
32,"🙏🙏🙏🇮🇱🌹 Еврейский народ всегда в наших сердцах. Берегите себя, Израиль!",0,2,0
974,Антисемитизм всего лишь говорит о твоих личных комплексах и страхах.,2,0,0
902,Мы сражаемся за мир в Палестине  ,2,1,1
870,Евреи дикари,1,2,1
1613,"Сначала атаки на евреев принимаются палестинцами с радостью, а затем возмущаются, когда Израиль отвечает.",2,0,0
351,🎉🇵🇸🎉,2,1,1
386,Израиль идет к победе.,0,2,0
1038,"А что, палестинцы восстановили свои разрушенные дома и построили новые школы и больницы? Израиль отдал им земли или взял их на содержание? Газ и воду поставляет? В чем Израиль проиграл?",0,2,0
1688,чтобы израильская сторона пострадала минимально,0,2,0
344,🇵🇸❤️🇵🇸,2,1,1
1514,У арабов отняли Палестину и все считают это приемлемым,1,2,1
296,ХАМАС должен понести наказание за каждое свое преступление против человечности.,2,0,0
1312,💚🇮🇱🙏,0,2,0
1329,"Обратите внимание, что в СНГ оппозиция часто имеет еврейские корни... Если кто-то ради своих поступает жестко, он не всегда злодей, а может быть просто пленником обстоятельств.",2,2,2
1399,Счастливы вас видеть! Пусть враги не смогут радоваться! 🇮🇱🌼,0,2,0
1523,"не одобряю ни Хамас, ни Цахал",2,2,2
1453,🛡️🇵🇸✊🙌✊🇵🇸🛡️,2,1,1
84,Евреи,2,2,2
505,"Нельзя забывать прошлое, чтобы избежать повторения трагедий. Израиль – это дом евреев, и они должны жить там.",0,2,0
139,Цахал - фашисты проклятые. ,1,2,1
129,Цахал сдает позиции,1,2,1
1638,Евреи вы всех за*ебали,1,2,1
823,Снова ХАМАС попятился  ,2,0,0
1359,"Такого государства как Палестина не существует, их язык заимствован. Ресурсы и экономика - от Израиля. Ответ - одно насилие.",2,0,0
1243,Сионисты своими поступками создают антисемитизм. Хотя они считаются весьма умными людьми.,1,2,1
686,"Их вера крепка, ма шаа Аллах 🙏🙏  ",2,1,1
424,"Так было, так есть и так будет всегда: Израиль держит удар!",0,2,0
266,Давно израиль не отхватил!!! Так ему!!!,1,2,1
1026,"Мастеровитый антисемитизм. Не надо думать, искать информацию — всё просто и доходчиво разложено по полочкам.",2,0,0
199,Арабы 😡😡😡😡😡😡,2,0,0
609,🙏🇮🇱🇮🇱🇮🇱,0,2,0
1664,"Кайфуют от нападений первыми, но стоит им ответить, сразу визжат про исламофобию.",2,0,0
840,"Боль сплачивает израильское общество, независимо от его многоликости.  ",0,2,0
1231,"Сионисты своими поступками провоцируют антисемитизм. Парадоксально, но их же называют умными.",1,2,1
1152,Не надо смешивать антисемитизм и антисионизм — это разные понятия,2,2,2
1053,Он антисемитом стал из-за комплекса. Член маленький – вот и бесится.,2,0,0
877,Любая из них разнесла бы Израиль,1,2,1
116,.Оторвать нахуй им всем головы за евреев!,2,0,0
200,Мусульмане… 😡😡😡😡😡,2,0,0
1154,Между антисемитизмом и антисионизмом есть принципиальное различие,2,2,2
1143,Не стоит смешивать понятия антисемитизма и антисионизма,2,2,2
156,нет такого государства палестина!!!,2,0,0
94,Израиль ❤️❤️❤️💪💪💪💪💪💪,0,2,0
467,Израиль не моя сторона.,1,2,1
300,Антисемитизм разрушает общество изнутри.,2,0,0
769,Палестинцы сыны собачьи,2,0,0
11,"Это вс так ужасно, болит сердце за судьбу каждого израильтянина",0,2,0
1011,Ну евреи🐷😡,1,2,1
1186,☝️☝️☝️🇵🇸🙏🇵🇸☝️☝️☝️,2,1,1
7,Ну и жидло!,1,2,1
789,И снова ЦАХАЛ отступил  ,1,2,1
573,🇮🇱❤️🙏,0,2,0
15,"Бедняжка, у неё впереди столько жестоких нападок от ненавистников Израиля 😢",0,2,0
612,🙏🙏🙏🇮🇱,0,2,0
868,Палестина разлагается,2,0,0
544,Вместе мы сможем достичь мира и взаимопонимания в Палестине,2,1,1
1135,"Между словами ""антисемитизм"" и ""антисионизм"" есть огромное различие",2,2,2
1430,аморальный антисемитизм  ,2,0,0
538,"Работая вместе, мы сможем установить долгожданный мир в Палестине",2,1,1
122,евреи🤬🤬твари,1,2,1
526,"Палестина, мы гордимся нашей совместной борьбой за мир",2,1,1
255,Израиль разлагается,1,2,1
1057,Свои проблемы на антисемитизм выливает. Член-то маленький!,2,0,0
1579,"Пока евреи строят стартапы, абубакарики чем гордятся?",0,0,0
1381,"Здорово, что вместе! Противники нас не ослабят! 🇮🇱🌳",0,2,0
1570,"Эта «странная война» между Палестиной и Израилем словно направлена против тех, кто не имеет к ней никакого отношения.",2,2,2
481,"мне бы не хотелось, чтобы повторился геноцид евреев",0,2,0
1122,Цель евреев понятна,2,2,2
218,Палестинцы за раз два разнесут израиль в щепки,1,2,1
1212,👋🙏🙏🇵🇸☝️🇵🇸🙏👋☝️,2,1,1
1259,Очевидное уничтожение народа Палестины! ,1,2,1
155,Евреи молодцы.,0,2,0
644,💙💙🇵🇸💙  ,2,1,1
1672,"У Хамас всё рассчитано, их сценарий безупречен.",2,1,1
817,Опять ХАМАС пятится  ,2,0,0
1234,"Стоит задуматься, что сами сионисты провоцируют антисемитизм. При этом они же гордятся своей ученостью.",1,2,1
761,евреи - леваки и пораженцы,1,2,1
405,Защита Израиля — наша общая задача🇮🇱👏,0,2,0
931,Удар по Израилю будет весьма уместным.,1,2,1
735,"Израиль дал им толчок в развитии, иначе они бы не покинули каменный век.",2,0,0
952,Зададим жидам по самое горло,1,2,1
1361,"Нет страны Палестина, даже языка своего нет. Всё берут у Израиля, но лишь распространяют агрессию и насилие.",2,0,0
940,"Когда Израилю плохо, нас это устраивает.",1,2,1
486,"Нельзя забывать уроки истории. Важно, чтобы еврейская нация имела своё место в мире, и этот дом – Израиль.",0,2,0
1176,Не отражает сути. Проблема не в антисемитизме.,2,2,2
373,Израиль всегда выходит победителем.,0,2,0
1498,Палестину отняли у арабов и всем все равно,1,2,1
521,"Мы объединяем усилия, чтобы обеспечить мирное будущее для Палестины",2,1,1
29,"Когда говорят о «государственности» Палестины, часто забывают, что у нее никогда не было независимости до современного конфликта.",2,0,0
420,"Да ну нафиг! Израиль всех раскидал в Шестидневной войне, держа в страхе всех арабов.",0,2,0
768,Палестинцы собаки,2,0,0
955,Всех жидов казнить,1,2,1
1676,"Хамас контролирует ситуацию, это всё предусмотрено.",2,1,1
608,🙏🙏🤲🇮🇱🇮🇱🇮🇱,0,2,0
1574,Этот конфликт в Палестине и Израиле превращает жизнь мирных жителей в кошмар.,2,2,2
637,💖💖🇵🇸💖  ,2,1,1
740,"Если бы не преобразования, привнесенные Израилем, они бы так и остались в прошлом.",2,0,0
1681,чтобы ущерб для израильской стороны был минимальным,0,2,0
1460,🇵🇸👐🙏☝️🙏👐🇵🇸,2,1,1
1019,Сионисты🐷😡,1,2,1
1264,Хрестоматийный случай этнической чистки палестинцев,1,2,1
1305,🙏❤️🇮🇱,0,2,0
1048,Ам Израиль Хай✊,0,2,0
943,Когда наконец-то помощь дойдет до Палестины?,2,1,1
279,Почему мировое сообщество не признает ХАМАС террористами официально?,2,0,0
1020,Сионисты🐷😡,1,2,1
1426,острый антисемитизм  ,2,0,0
627,🙏🙏💙🇮🇱,0,2,0
1307,🇮🇱💙💫,0,2,0
90,евреи😡,1,2,1
1267,Очередной пример геноцида палестинского народа,1,2,1
696,"Они непоколебимы духом, ма шаа Аллах 🙏🙏  ",2,1,1
1045,Среди евреев вообще есть адекватные?,1,2,1
640,💗💗🇵🇸💗  ,2,1,1
1633,"Да уж!!!! Пишут мне: жалко палестинских детей... Родители и правительство головам на плечах должны были думать о последствиях их действий. В первую очередь они обязаны понимать, во что это может вылиться. Так что не обижайтесь: что заслужили, то и получаете! Израилю - успехов и процветания!!!",0,0,0
1271,Всех заложников евреи пустили на мясо,1,2,1
1205,☝️🙏☝️🇵🇸👋🇵🇸☝️🙏🙏,2,1,1
1603,"Многие палестинцы ликуют при атаках на евреев, но резко критикуют ответные действия Израиля.",2,0,0
848,"Никто не остается в стороне, когда Израиль сталкивается с горем.  ",0,2,0
127,"Мусульмане, объединяйтесь! Вместе победим зло в лице Израиля",1,1,1
1663,"Когда сами нападают - это их веселье, а когда получают сдачи, начинают ныть про исламофобию.",2,0,0
230,Аллах акбар!!!,2,1,1
157,Израиль заслужил чтобы его хорошо выпороли,1,2,1
1155,Антисемитизм и антисионизм — совершенно разные вещи,2,2,2
1044,Среди арабов вообще есть адекватные люди?,2,0,0
198,Палестинцы… 😡😡😡,2,0,0
1564,"Палестина и Израиль снова в конфликте, обычные люди оказываются в эпицентре этой «странной войны».",2,2,2
1486,Евреи это просто оскорбление,1,2,1
842,Вместе в трудное время - вот что показывает израильское общество.  ,0,2,0
172,Похер на арабов,2,0,0
278,Теракты ХАМАСа лишь обостряют конфликт.,2,0,0
685,"Они непреклонны, ма шаа Аллах 🙏🙏  ",2,1,1
617,🙏🙏🙏🇮🇱🇮🇱🇮🇱,0,2,0
922,Любые трудности для Израиля будут к месту.,1,2,1
1491,Забрали у арабов Палестину как будто так и должно быть,1,2,1
1528,"не поддерживаю действия ни Хамаса, ни Цахала",2,2,2
1348,"Нет ни государства Палестина, ни языка своего. Только зависят от Израиля в финансах и ресурсах. Ответ только в виде насилия и крови.",2,0,0
1431,неподобающий антисемитизм  ,2,0,0
778,ЦАХАЛ снова шаг назад  ,1,2,1
895,Мы отдаем все силы за мирное будущее Палестины  ,2,1,1
1580,"Евреи в медицине передовики, а палестинцы чем могут похвастать?",0,0,0
1198,👋🙏👋🇵🇸☝️🇵🇸🙏🙏👋,2,1,1
1059,Маленький член – вот и антисемитизм процветает.,2,0,0
1490,Присвоили Палестину у арабов и никто не возмущается,1,2,1
1529,не на стороне Хамаса и не на стороне Цахала,2,2,2
1189,🙏🙏🙏🇵🇸☝️🇵🇸🙏🙏🙏,2,1,1
249,Евреи супер молодцы. Продолжайте бороться с терроризмом,0,2,0
814,Снова ХАМАС  уступил  ,2,0,0
1418,недопустимое проявление антисемитизма  ,2,0,0
167,Ага так называемое «единство» у «мирных» мусульман. Рассмешили,2,0,0
590,Израиль проявляет себя с теми же зверствами и угнетением,1,2,1
1572,"Война между Палестиной и Израилем продолжается, и мирные жители страдают больше всех.",2,2,2
581,🇮🇱❤️🙏,0,2,0
834,"Израильтяне, независимо от разногласий, вместе против общей беды.  ",0,2,0
928,Маленькая неудача для Израиля нас обрадует.,1,2,1
1139,Не смешивайте антисемитизм и антисионизм — это разные термины,2,2,2
148,Евреи могут нагнуть Палестину на раз два,0,2,0
92,евреи🤬🤬,1,2,1
1518,"не на стороне ни хамас, ни цахал",2,2,2
596,Израиль является единственным законным государством в этом регионе.,0,2,0
993,"Складывается впечатление, что ХАМАС популярны, потому что Израиль всех достал.",1,2,1
632,🙏🙏🙏🇮🇱,0,2,0
1030,Израиль показывает настоящее зверство,1,2,1
908,Мы стремимся к миру  ,2,1,1
800,ЦАХАЛ опять сдался  ,1,2,1
1373,"Добро пожаловать! Пусть у нас всё будет хорошо, а врагам не видать победы  🇮🇱🌷",0,2,0
811,Опять ХАМАС  сдал позиции  ,2,0,0
169,Было нападение на израиль,2,0,0
1206,👋👋🙏🇵🇸☝️🇵🇸👋🙏👋,2,1,1
662,только услышат что-то нежелательное в свой адрес - и сразу визг и обвинения в антисемитизме,1,2,1
1216,Именно представители сионизма своими действиями создают почву для антисемитизма. При этом они ведь считаются разумными людьми.,1,2,1
291,"Нет оправдания терактам, независимо от их мотивации.",2,0,0
1553,"Когда читаю ваши комментарии, чувствую разочарование. Это ведь не наш бой. Солдаты боролись в Сирии с Хамасом. Жалко детей с обеих сторон.",2,2,2
361,Победа будет за Израилем.,0,2,0
1577,"Евреи научные открытия делают, а абубакарики что привносят?",0,0,0
1129,Арабские государства опять высказали свою позицию по поводу Израиля.,2,2,2
244,"Евреи, «Богоизбранные», полный уроды",1,2,1
1217,Само же агрессивное поведение сионистов и вызывает ненависть к евреям по всему миру. А ведь их часто называют умными.,1,2,1
825,Опять ХАМАС не выдержал  ,2,0,0
721,Израиль своими действиями возбуждает ненависть у остальных,1,2,1
1156,Не следует путать антисемитизм и антисионизм,2,2,2
239,ЦАХАЛ😡🤬🤬,1,2,1
385,Израиль — символ стойкости.,0,2,0
791,Снова ЦАХАЛ уступил  ,1,2,1
327,"Эти люди нарушили заповеди, поэтому проигрывают.",2,2,2
656,"Ага, конечно, «мирные палестинцы». А кто убил сотни детей???",2,0,0
