,text,affect_isr,affect_pal,attitude
57,"Арабы и евреи никогда не будут жить мирно. С течением времени арабы будут набирать силу + их огромное население (450 млн) , - помимо Палестины. Когда арабы помирятся между собой - израм будет тяжело. Организовать государство в 1948 году - большая ошибка. Выход? Израм надо найти новую землю и нового Бога. Но все хорошие земли разобраны, так что здесь не обломится. Нет выхода? Есть! Собраться израм-миллиардерам, насыпать остров (маленький, большой, очень большой) в удобном месте с хорошим климатом. Моря пока не заняты (только рыбами). Насыпать, обустроить, построить города, - если и это не поможет - только в космос, к своему Богу.",2,2,1
58," и что,они не в израиле,значит просто евреи,не израильтяне,их заботы,всего навсего",2,2,1
59, так и есть. Пока в по работе не пересекся даже мысли об антисемитизме не было.,2,2,1
60," евреи? Да, в Ветхом завете об этом сказано.",2,2,1
61,"очнь четкие кадры, Хамас по сранению с ними снимал в 4к",2,2,1
62,"Теперь Варшава помогает Киеву. Продолжающему ""славные"" традиции антисемитизма и антипольских ""традиций"" (Волынская резня🇵🇱 1943г.) Бандеры...",2,2,1
63,У иудеев нет ада.,2,2,1
64,Кто все это затеял. Израиль или кто-то другой,2,2,1
65,Антисионизм приравнивается к антисемитизму?,2,2,1
66,"22 декабря - Зачатие прав. Анною Пресвятой Богородицы.  22 декабря Русская Православная Церковь вспоминает день чудесного зачатия Пресвятой Девы Марии праведной Анной.    Святая праведная Анна была младшей дочерью священника Матфана, происходившего из колена Левина из рода Ааронова.    Муж ее, святой праведный Иоаким, был родом из колена Иудина, из дома царя Давида. По древнему обетованию из рода Давидова должен был произойти Мессия.    Супруги жили в Назарете Галилейском. Ежегодно они отдавали две трети своих доходов в Иерусалимский храм и бедным. По особому Промыслу Божию святая чета до глубокой старости не имела детей. Супруги сильно скорбели об этом, так как бесчадие у евреев считалось тяжким несчастьем и наказанием Божиим. Святые горячо молились о даровании им потомства.    В один из праздников, когда израильтяне приносили в Иерусалимский храм дары Богу, первосвященник, полагая, что бездетный Иоаким не имел благословения Божия, отказался принять от него дары. Святой Иоаким был глубоко огорчен. Он обратился к родословной двенадцати колен израильских и удостоверился, что все праведные мужи имели потомство, включая столетнего Авраама. Не возвращаясь домой, святой Иоаким ушел в пустыню и провел там сорок дней в строгом посте и молитве, призывая на себя милосердие Божие и омывая горькими слезами свое бесчестие.    Супруга его, святая Анна считала себя главною виновницею постигшего их горя.    Однажды, увидев среди ветвей лаврового дерева гнездо с едва оперившимися птенцами, она слезно молилась о даровании ей младенца, обещая принести в дар Богу рожденное дитя. Как только святая Анна произнесла слова обета, Ангел Божий возвестил ей об исполнении молитвы и открыл, что у нее родится дочь по имени Мария, через Которую благословятся все племена мира. Обрадовавшись, святая Анна поспешила в Иерусалимский храм, чтобы возблагодарить Бога и повторить обет о посвящении Ему ожидаемого младенца.    С тем же благовестием явился Ангел и святому Иоакиму в пустыне и повелел ему идти в Иерусалим. В Иерусалиме святая праведная Анна зачала Благословенное Чадо и родила Пресвятую Деву Марию.    До трехлетнего возраста Пресвятая Мария жила в доме своих родителей, а затем торжественно была приведена святыми Иоакимом и Анной в храм Господень, где воспитывалась до совершеннолетия.  Тропарь на зачатие Пресвятой Богородицы, глас 4   Днесь безча́дия у́зы разреша́ются,/ Иоаки́ма бо и А́нну услы́шав Бог,/ па́че наде́жды, роди́ти тем я́ве обещава́ет Богоотрокови́цу,/ из Нея́же Сам роди́ся Неопи́санный, Челове́к быв,/ а́нгелом повеле́в вопи́ти Ей:// ра́дуйся, Благода́тная, Госпо́дь с Тобо́ю.   Кондак на зачатие Пресвятой Богородицы, глас 4   Пра́зднует днесь вселе́нная А́ннино зача́тие,/ бы́вшее от Бо́га:// и́бо та породи́ па́че сло́ва Сло́во ро́ждшую.",2,2,1
67,А в Израиле конная армия появилась?,2,2,1
68,"Представитель ЦАХАЛА заявляет:    ""Бригады Имама Хусейна КСИР Ирана прибыли в южный Ливан""",2,2,1
69,"Интересно, а еврейские инвесторы (покупатели) в курсе, что сделка приостановлена?! 🤔",2,2,1
70,"Не признают Израиль такие страны, как Катар, Пакистан, Оман, КНДР, Кувейт, Ливан, Малайзия, Иран (разорвал отношения в 1979 году), Ирак, Индонезия, Куба (разорвала отношения в 1973 году), Афганистан, Бангладеш, Саудовская Аравия, Сирия и несколько стран Африки (в основном северной). Большинство из этих стран не принимают израильские паспорта. Количество стран увеличивается",2,2,1
71,"Справедливости ради стоит отметить, что земли, которые Дмитрий называет ""всё вокруглежащее"", тоже населяют семиты, поэтому использовать сегодня термин ""антисемитизм"" не совсем корректно, или совсем некорректно. Есть, конечно, и те (и их сейчас немало), кто радуется конфликту, крича, что палестинцы и евреи должны полностью истребить друг друга, вот тут термин уместен, да.",2,2,1
72,Почему ещё не в Газе тварь???,2,2,1
73,"Игоря почитал?  Удивительное лицемерие там, особенно в описании трудоустройства арабов. Мы хорошие, мы их не гнобим, хоть они и арабы.. Прям бремя белого человека.. В пробковом шлеме.  Да и остальные посты...  Мерзко.",2,2,1
74,"[club123035368|Львиное Логово (عرين الاسد)],  подпевай:  У сарая вдруг подох Террорист молоденький Схватил пулю в тизак И себе лежит Пристрелите его Сионисты страшные А не то у него будет менингит 😂😂😂😂😂😂😂😂  Это про концерт😉",2,2,1
75, Антисемитизм возник в античности задолго до тамплиеров. А а ростовщничеством занимались ломбардийцы ( отсюда слово ломбард,2,2,1
76,"Даня, переходи в Хапоэль Тель Авив !!!",2,2,1
77,"Я не представляю решения Палестинской проблемы. Жалко ЛЮДЕЙ. Всех. Заложников обстоятельств. Если бы политики не стравливали людей с целью вести войны, люди, уж как-нибудь расселились бы. И в почёте был бы трудолюбивый, а не богатый. Но это утопия...",2,2,1
78," фишка в том, что чисто анархический киббуц остался только один на весь Израиль. А большинство живут не в ваакуме, а вполне себе вынуждены жить по законам рынка. Где работать будут наиболее бедные из основной массы евреев-ашкеназов, а так же совсем неудачливые темнокожие евреи-фалаша, евреи востока - мизрахим и сефарды, накрайняк - евреи из бывшего СССР - как ашкеназы, так и горские/грузинские/бухарские и т.д. Расслоение-то есть. И внутри каждого из субэтносов тоже. И везде свои буржуа и мелкобуржуа.",2,2,1
79,"про ашкенази почитала - вроде это результат уже римского владычества. Насчет 10 колен в 8 веке до н.э. - вряд ли язычники могли сохраниться где-то племенем. Они наверняка ассимилировались и растворились. Смотрите, по ассирийскому завоеванию информация вообще не сохранилась (например, даже пророк Иоиль только предположительно относится к этому периоду). Но есть точные данные по Вавилонскому плену - когда в 590х до н э. увели 2 колена в Вавилон. Историки пишут, что всего за 60 лет плена община потеряла язык (он существенно упростился), набрала вавилонских историй и часть ассимилировалась и навсегда осталась там. Это 6 в до н.э. и евреи-монотеисты с крепкой идеологией (храм Соломона, традиции) и всего 60 лет. Даже они еле удержались - племя рассыпалось на глазах.  А 10 колен-язычников в 8 веке перемешало и перемололо - разлетелись по азии и африке, ассимилировались. А еще ""еврейские"" племена там были еще в период египетского ""плена"" - считается, что это гиксосы, ставшие фараонами. Так что выделить в истории 10 колен какую-то сохранившуюся ветвь просто нереально",2,2,1
80,"Блогер стал агентом Моссад 😂🤣  Хананья Нафтали (родился: 7 июля 1995 (1995-07-07) [28 лет]) - звезда израильских социальных сетей и произраильский влиятельный человек, использующий свою платформу для повышения осведомленности об антисемитизме, движении BDS, Иране и других угрозах, с которыми еврейский народ сталкивается ежедневно.",2,2,1
81,"Почему тогда Холокост не упомянул автор статьи?Антисемитизм и Холокост,это ДВЕ стороны одной медали.Без них Израилю НИКАК!",2,2,1
82,"Как мне видится, в этом вопросе не имеет смысла обобщать понимание и поведение всего еврейского народа поколения Иисуса. С одной стороны, в те годы в народе были люди, которые стали апостолами и десятками тысяч первых верующих (Деян. 21:20).  С другой стороны, именно в том поколении прозвучали серьезнейшие обличения некоторым от Иисуса:  Змии, порождения ехиднины! как убежите вы от осуждения в геенну?  Да придет на вас вся кровь праведная, пролитая на земле, от крови Авеля праведного до крови Захарии, сына Варахиина, которого вы убили между храмом и жертвенником.  (Матф. 23:33, 35)  Состав религиозных властей того времени и тех, кто занимался гонениями Иисуса и апостолов, - одно дело. Но в народе было огромное количество тех, кто принял Иисуса.  Множество же народа постилали свои одежды по дороге, а другие резали ветви с дерев и постилали по дороге; народ же, предшествовавший и сопровождавший, восклицал: осанна Сыну Давидову! благословен Грядущий во имя Господне! осанна в вышних! И когда вошел Он в Иерусалим, весь город пришел в движение и говорил: кто Сей? Народ же говорил: Сей есть Иисус, Пророк из Назарета Галилейского.  (Матф. 21:8-11)",2,2,1
83, я знаю кто такие российские евреи.А вот русские евреи?☺☺☺☺,2,2,1
84, и Южная Африка тоже...,2,2,1
85," думаю, сами евреи с вами будут не согласны)))",2,2,1
86,"Виталий, у моей двоюродной тётушки из Питера была на работе ""коллега"", помешанная на евреях и антисемитизме. Абсолютно всё в этом мире она объясняла кознями евреев и во всём видела следы евреев. Говорила она только об этом и других тем для разговоров у неё не было. Доходило до абсурда. Наша героиня (Валентина Павловна) совершенно серьёзно считала, что все люди, чьи фамилии ""птичьи"" - евреи (Орловы, Скворцовы, Голубевы, Синицыны, Стрижовы, Воробьёвы и т.д.). Прошло больше 20 лет с момента, когда тётя Лариса рассказала мне эту историю, а я каждый раз, сталкиваясь с кем-то, например, с каким-нибудь Вороновым или Журавлёвым, вспоминаю эту историю.",2,2,1
87,"То есть идентичность важнее гуманизма? Покуда я еврей, пусть и из России, то жизни евреев будут для меня ценнее, чем жизни русских? Вот Панютина и Калинина дают совершенно противоположные результаты такого подхода.  Опять же, не либералы ли пели в уши о равенстве и братстве в дивном новом мире (не то что кровавый совок, который тюрьма народов и т.п.)? А на деле - вот оно.",2,2,1
88,"Почему тогда Холокост не упомянул автор статьи?Антисемитизм и Холокост,это ДВЕ стороны одной медали.Без них Израилю НИКАК!",2,2,1
89,"не всё сразу,поменяют.Найдут приемлемую пропорцию,палестинцев у Израиля 7000 голов,и обменяют.Главное стрелять перестанут и убивать",2,2,1
90,"В те дни приходит Иоанн Креститель и проповедует в пустыне Иудейской и говорит: покайтесь, ибо приблизилось Царство Небесное.  (Мф., III : 1)",2,2,1
91," стерика израильского либертарианца Амира Вайтмана, который угрожал России страшной местью за поддержку врагов Израиля, явно впечатлила канал ""Царьград"" православного олигарха Константина Малофеева. Цитируя Вайтмана, там зачислили его в депутаты кнессета, и соврали. Заглянув в список израильских парламентариев, легко убедиться, что Амирчика там нет. Потому что он хоть и состоит в правящей партии ""Ликуд"", но имеет там вес, сравнимый с влиянием в России своей единомышленницы - покойной старушки Новодворской.    Тем не менее факта поддержки Израилем Украины это не отменяет. Как и факта участия боевиков ХАМАС в войне против России в Сирии. А раз так, то у Москвы в палестино-израильской разборке друзей нет. Чем дольше она будет длиться и чем глубже НАТО и арабские страны туда влезут - тем свободнее у России будут руки на Украине.",2,2,1
92,"Не раз встречал в мемуарах о популярности Гитлера в том числе и у немецких евреев. Его антисемитизм многие воспринимали тогда как пустой популизм умного политика, стремящегося к власти. Мол вот он придет к власти и антисемитское фанфаронство будет ему больше не нужно. А так то он явный талант, способный навести порядок в стране.",2,2,1
93,"Мое детство прошло в коммунальной квартире небольшого двухэтажного дома, где соседями были еврейские семьи, да и сам дом назывался еврейским, потому что изначально там жили одни евреи, работавшие в соседнем НИИ, но по мере получения ими отдельных квартир, в освободившиеся заселяли и русские семьи. Могу сказать одно, что даже 50-60 лет назад, это были люди закрытые, общающиеся в основном между собой, но уже тогда от их детей можно было услышать про антисемитизм и притеснение их родителей на службе, хотя были среди них и начальство, и люди с ученой степенью. За годы учебы в школе, я не видела ни одного конфликта или драки на национальной почве. Многие эмигрировали, кто-то прекратил общение сразу, кто-то спустя десятилетия вспомнил несуществующие обиды и притеснения здесь и после этого прервал общение, кто-то расчехлился после СВО, до этого не проронив и слова о Донбасе, а кто-то продолжает жить здесь, поддерживая происходящее.",2,2,1
94, само собой - но речь вроде об Израиле идёт😳,2,2,1
95,"Кстати, Вефлием - палестинский город. 14 тысяч вефлиемских младенцев...",2,2,1
96,Йеменцы арабы. Остальные арабы от них происходили.,2,2,1
97,нешто евреи бросили сраловку?,2,2,1
98,Чё америкосы Израиль может не потянуть один воину с ХАМАСом и Хизбаллой?! 🇮🇱👇,2,2,1
99,"АРМЕН, ПОДЖИГАЙ? Согласно азербайджанским массмедиа, Соединённые Штаты выразили готовность оказать Армении значительную поддержку в случае ухудшения отношений между Арменией и Россией. Эта поддержка включает в себя военную, финансовую и гуманитарную помощь, а также поставки вооружений.  В Вашингтоне, по всей видимости, ожидают изменения политического курса армянского руководства. Недавно премьер-министр Армении Никол Пашинян объявил, что не будет участвовать в предстоящем саммите Организации Договора о коллективной безопасности (ОДКБ) в Минске 23 ноября, как сообщила пресс-служба армянского премьера.  Президент Белоруссии Александр Лукашенко, как указала его пресс-секретарь Наталья Эйсмонт, отнёсся к решению Пашиняна спокойно, но посоветовал премьеру Армении обдумывать любые политические шаги, которые могут вести к дезинтеграции.  Пашинян ранее высказывался о неэффективности ОДКБ, отмечая, что организация не предоставила поддержку Армении во время военного конфликта с Азербайджаном. Эти заявления указывают на возможный разрыв Армении с ОДКБ. Официальный представитель российского МИД Мария Захарова подчеркнула, что в Ереване следует тщательно взвесить возможные последствия таких действий. Подробнее на: https://avia.pro/news/ssha-poobeshchali-armenii-besprecedentnuyu-podderzhku-v-sluchae-uhudsheniya-otnosheniy-s",2,2,1
100,"Я тоже удивлялась всегда- почему больше говорили о гибели евреев,чем о гибели советских людей?",2,2,1
101,"ну оккупировала и оккупировала, вообще поe6ать. Пусть хоть всю Газу с Палестиной вместе себе заберут.",2,2,1
102,А бедуины всегда были на стороне Израиля,2,2,1
103,"Не надо свою Родину позорить. Мы всегда оставались людьми. А вести себя как дикие звери стыдно. Не любишь евреев, езжай на войну, воюй с солдатами.",2,2,1
104,"если ты такой герой, возьми ружье, езжай и защищай своих уйгуров! Иранские народы что, вас под опеку взяли до судного дня? Живёте на земли Ирана, иранские народы вас спасали не раз от истребления, вы все ровно как только появляется у вас шанс, убиваете их! Монголы татары, Селджуги,  Тамерлан, Османы! Забыли? А так вы себя считаете высшей расы, герои, турк менем, туркун байрагы, так что собирайтесь и езжайте в уйгурустан, защищаете своих братьев уйгуров! А то смотрю, вы такие умные, иранцы везде за вас умирают, а вы по тихой их земли ещё больше захватываете и оставшихся ираноязычных народов ассимилируете! Таджики Самарканда, Бухары, курды, зазы в Турции, таты, талыши в Азербайджане, кто их должен защищать от вас??? Прошли те времена, когда поверили вам и приютили из жалости! Вы тоже как евреи в Израиле, кто вам помогает в трудные минуты, вы потом им отрубаете голову! Уйгуры что потеряли в Сирии? Против кого они воевали? Против сионист? Нет конечно! Против шиитов, против иранских народов! Сколько невинных людей убивали, детям голову отрезали! Китай правильно делает, вам только волю давай, вы их за 24 часа уничтожите, не   пощады не жалости не будут к детям и женщинам!",2,2,1
105,"В произведениях английской литературы даже самого высокого образца присутствовала некая затаённая неприязнь к евреям.В пьесе Шекспира Венецианский купец главный антагонист еврей ростовщик Шейлок желал через суд взыскать долг у христианина вырезав у того из тела фунт мяса,подразумевая вырезать тому из груди сердце.Довольно кровожадный и жестокий человеческий образ.А отвратительный образ предводителя шайки воров и разбойников ,главного злодея книги мерзкого старика еврея Фейджина из романа Чарльза Диккенса Приключения Оливера Твиста.Это конечно ещё не антисемитизм,но на грани и кажется по современным критериям вполне подходит под это определение.",2,2,1
